Ticker,PE_TTM,Forward_PE,Revenue_YoY,EPS_YoY,Market_Cap
CEG,30.9927,33.20894,0.114,0.031,92853313536.0
PLD,30.471699,32.116478,0.086,-0.337,104917524480.0
CME,25.396803,25.27435,0.104,0.161,94453792768.0
BMY,18.927711,6.704125,0.006,-0.22,95930286080.0
AMT,36.07865,28.37408,0.032,-0.593,90213244928.0
CDNS,97.07412,52.575912,0.202,-0.303,98135900160.0
DUK,19.695395,18.949825,0.047,0.093,93425221632.0
TT,31.80197,31.92767,0.083,0.158,89870475264.0
DELL,17.150862,12.698937,0.19,0.376,80739721216.0
PH,27.529663,25.378906,0.011,0.176,94651097088.0
MCO,42.897453,37.93784,0.045,0.047,90635845632.0
HCA,17.292156,16.75684,0.064,0.131,96260546560.0
WM,32.211838,26.942987,0.19,0.068,87587291136.0
SHW,35.865707,28.316511,0.007,-0.152,90229874688.0
CVS,19.844011,10.993827,0.084,-0.423,90355826688.0
CTAS,45.664772,42.932693,0.08,0.082,80968351744.0
ORLY,37.68817,2.3397865,0.059,0.073,89219465216.0
RCL,26.128624,24.592722,0.104,0.417,95458222080.0
GD,21.530241,19.923508,0.089,0.12,86177284096.0
MCK,27.846893,18.874762,0.234,-0.143,86419521536.0
NOC,21.211283,20.500713,0.013,0.249,82366021632.0
COIN,29.874638,86.77871,0.029,38.527,79599386624.0
MMM,21.090153,19.2481,0.014,-0.369,80991715328.0
MDLZ,22.897434,18.22449,0.077,0.067,80884809728.0
CI,16.493692,9.600255,0.11,-0.01,80259907584.0
AON,31.128788,21.26567,0.105,0.105,79741026304.0
ECL,36.201603,36.15333,0.178,,76904914944.0
APO,25.03078,15.821344,0.131,-0.261,76745998336.0
TDG,42.970127,29.776678,0.093,0.067,72956166144.0
EQIX,75.23919,57.244766,0.054,0.223,74957463552.0
ABNB,30.149393,27.603445,0.127,0.157,76049203200.0
MSI,38.139874,32.29816,0.052,0.158,79046934528.0
NEM,13.833333,19.937338,0.208,1.416,83877642240.0
ITW,22.99166,24.4743,0.006,-0.005,76336562176.0
PNC,13.892003,13.540307,0.045,0.115,80037339136.0
AJG,45.36611,26.58422,0.117,0.291,76875571200.0
UPS,12.544643,9.568672,-0.027,-0.089,71450148864.0
EMR,33.901028,20.866297,0.04,0.781,74219249664.0
FI,22.722408,13.334642,0.08,0.148,73863421952.0
RSG,33.627777,33.331497,0.046,0.074,70869131264.0
MAR,30.166292,25.242926,0.059,-0.012,72635375616.0
USB,11.901915,11.489608,0.033,0.132,77420453888.0
BK,16.151377,16.17611,0.097,0.218,74494607360.0
WMB,29.025253,27.49761,0.114,0.362,70181216256.0
ELV,13.1981325,8.900715,0.14,-0.242,70048366592.0
HWM,51.659763,55.896843,0.092,0.53,71431102464.0
CL,23.648878,21.810883,0.01,0.016,68044128256.0
ZTS,25.95267,23.783123,0.042,0.151,66825351168.0
JCI,34.86233,24.961098,0.026,-0.281,68440166400.0
CSX,19.877302,15.960592,-0.034,-0.139,60402675712.0
AZO,28.550562,24.182482,0.054,-0.066,70519668736.0
VST,30.701769,27.676086,0.105,-0.104,64702758912.0
PYPL,14.526916,13.873354,0.051,0.118,64813510656.0
EOG,11.582929,10.797468,-0.113,-0.204,65202487296.0
SPG,27.74613,26.436579,0.028,0.127,67610587136.0
APD,40.65319,20.226183,0.012,0.025,63785091072.0
HLT,42.49846,34.573215,0.054,0.045,64969990144.0
MNST,39.074535,33.641712,0.111,0.149,61427085312.0
NSC,18.649864,20.325333,0.022,0.042,61925744640.0
ADSK,67.595825,35.344223,0.171,0.11,69109981184.0
FCX,33.496212,20.469906,0.145,0.253,63482568704.0
FTNT,31.888447,33.211617,0.136,0.159,61331931136.0
TEL,42.615227,23.03782,0.139,0.113,61197275136.0
WDAY,106.86574,27.810843,0.126,0.727,61631610880.0
TRV,12.136383,12.918823,0.074,1.826,61804908544.0
AEP,15.793255,18.286928,0.111,2.602,57602768896.0
REGN,14.061572,12.323659,0.036,-0.028,59181551616.0
AXON,177.13759,116.282265,0.328,-0.129,56597749760.0
KMI,21.900902,21.205635,0.132,0.243,59371978752.0
URI,24.430996,20.134977,0.045,-0.022,60707532800.0
CMG,34.907078,30.110687,0.03,-0.043,52891013120.0
DLR,42.178947,132.4628,0.126,11.867,55668768768.0
TFC,12.51626,11.692406,,0.373,59552788480.0
NXPI,26.543503,17.03902,-0.064,-0.324,56146010112.0
COR,30.518995,18.16962,0.087,0.422,57631207424.0
PWR,57.413315,36.504925,0.211,0.218,55264837632.0
ROP,36.520508,25.976624,0.132,0.122,55964876800.0
AFL,23.959553,14.870293,-0.19,-0.659,57023684608.0
BDX,34.861313,12.144946,0.104,0.179,54757220352.0
FAST,45.42308,21.570776,0.086,0.128,54214516736.0
GLW,76.938835,31.308443,0.188,3.51,61952831488.0
CARR,36.215515,20.728619,0.03,-0.747,53627211776.0
CMI,18.32521,17.36501,-0.017,0.226,53882593280.0
ALL,9.479529,10.585391,0.058,5.372,53080444928.0
NDAQ,36.588463,30.296177,0.166,1.036,54585118720.0
FDX,13.387865,9.892308,0.139,-0.107,53100097536.0
GM,8.825191,5.4687796,-0.018,-0.354,55034871808.0
O,57.16534,37.031635,0.054,-0.241,53834608640.0
SRE,19.309927,15.515565,-0.004,-0.348,52034641920.0
IDXX,54.19004,54.416588,0.106,0.446,52068851712.0
D,19.347176,17.22929,0.093,0.35,49699729408.0
MET,13.548388,8.235294,-0.027,-0.229,53069074432.0
PCAR,16.741182,12.57746,-0.144,-0.355,51250630656.0
LHX,30.066126,18.720812,0.024,0.251,50401988608.0
PSX,31.790974,14.103267,-0.126,-0.136,54087954432.0
PSA,31.749184,27.388525,0.016,-0.308,51081388032.0
PAYX,29.393013,25.448015,0.102,-0.218,48410562560.0
DHI,14.213425,11.099498,-0.074,-0.243,52712796160.0
SLB,12.47774,9.9277935,-0.065,-0.088,54429523968.0
MPC,26.936865,18.19559,-0.108,-0.197,56424591360.0
CTVA,33.317974,22.523365,0.056,0.248,49098936320.0
ROST,23.609352,22.268312,0.046,-0.036,48725405696.0
AMP,15.46185,12.852187,0.022,0.279,46803963904.0
KDP,24.393806,13.446342,0.061,0.062,37445398528.0
CBRE,45.53371,27.016668,0.162,0.654,48233500672.0
OKE,14.007797,12.036852,0.612,0.078,45254266880.0
TGT,10.551574,8.613939,-0.009,-0.216,41137876992.0
GWW,24.992895,23.390406,0.056,0.026,47113281536.0
XYZ,16.195513,21.359488,-0.016,1.758,46203416576.0
KR,18.324251,14.683407,-0.003,-0.086,44462739456.0
EBAY,20.264444,17.469349,0.061,0.643,41673830400.0
EW,33.29707,32.481632,0.119,-0.09,46721421312.0
F,14.762821,6.5800004,0.05,,45828087808.0
CPRT,30.213837,27.609196,0.052,0.229,46451605504.0
EXC,16.376425,16.376425,0.012,-0.127,43500269568.0
GRMN,29.39753,31.91957,0.204,0.333,45836668928.0
CCI,,34.940296,-0.042,0.159,40777412608.0
AIG,14.7757015,11.780925,0.083,,43794014208.0
DDOG,394.7429,68.05911,0.281,-0.94,48182607872.0
KMB,17.83242,17.084534,-0.016,-0.064,43249180672.0
OXY,27.005882,14.528481,-0.059,-0.606,45195640832.0
EA,41.74375,19.575031,0.007,-0.282,41778315264.0
MSCI,37.837593,33.551994,0.091,0.138,44231696384.0
TTWO,,31.66454,0.124,,45794676736.0
BKR,15.009805,17.871595,-0.032,0.211,45281423360.0
PEG,20.045454,19.503683,0.158,0.348,39616970752.0
XEL,19.814405,18.67624,0.086,0.47,42304700416.0
VLO,65.15261,16.8114,-0.146,-0.189,50397073408.0
AME,29.95169,25.479452,0.025,0.061,42957443072.0
RMD,29.391579,27.135082,0.102,0.299,40881999872.0
YUM,28.917322,24.161184,0.096,0.019,40770035712.0
FANG,10.080797,9.502391,0.413,-0.165,40271847424.0
CHTR,7.2133074,7.362493,0.006,0.057,35982168064.0
KVUE,24.746666,15.213114,-0.04,6.241,35617935360.0
ETR,21.562283,11.226874,0.127,8.565,38791155712.0
MPWR,22.310532,49.60782,0.31,0.332,40816545792.0
CCL,16.693718,18.53779,0.095,5.141,43232231424.0
DAL,8.882267,8.705129,-0.001,0.632,39901650944.0
ROK,39.99177,29.853508,0.045,0.272,38264659968.0
VMC,40.513893,32.125553,0.044,0.042,38540570624.0
SYY,21.555763,16.342073,0.028,-0.132,38449680384.0
CSGP,337.26926,78.29465,0.153,-0.677,37149868032.0
PRU,23.39978,7.2317905,-0.078,-0.555,37388664832.0
TKO,79.88776,60.40895,0.097,0.664,16076243968.0
VRSK,41.94721,37.056244,0.078,-0.178,37742612480.0
LYV,72.255325,70.16529,0.163,-0.183,39385112576.0
FIS,275.32,12.054291,0.051,,35955347456.0
LVS,27.325758,19.674545,0.15,0.306,37140594688.0
HIG,11.92416,11.307925,0.076,0.348,36913668096.0
MLM,33.819767,29.3083,0.027,0.116,36833996800.0
ED,17.541819,17.167261,0.116,0.218,34795704320.0
HSY,24.92374,22.372025,0.26,-0.653,38096908288.0
CAH,23.252714,17.358795,0.005,0.017,35814322176.0
MCHP,,24.911537,-0.134,,34955071488.0
TRGP,23.286945,19.65012,0.196,1.108,34927812608.0
HUM,23.268406,18.017815,0.096,-0.197,36492931072.0
VICI,12.689655,12.131867,0.046,0.167,35318173696.0
LEN,11.339818,8.487299,-0.044,-0.5,35302404096.0
WEC,20.514395,20.475096,0.134,0.161,34401034240.0
XYL,35.546875,28.736841,0.061,0.165,33225465856.0
OTIS,23.037037,20.782816,-0.002,-0.053,34176724992.0
CTSH,14.369168,14.196393,0.081,0.14,34597969920.0
ACGL,9.391933,10.04646,0.233,-0.025,33895839744.0
A,29.537382,22.375221,0.101,0.191,35840069632.0
GEHC,15.997951,16.717344,0.035,0.136,35643793408.0
NUE,25.601614,15.23515,0.047,-0.065,32731920384.0
PCG,13.773148,10.050675,-0.015,0.002,32692867072.0
EQT,26.442106,19.936508,1.115,81.394,31352924160.0
EL,,32.9,-0.119,,31968940032.0
STX,27.942392,19.502062,0.295,-0.049,40232108032.0
UAL,10.645938,8.779156,0.017,-0.265,34360913920.0
KHC,,8.710098,-0.019,,31649464320.0
IQV,27.258322,15.60522,0.053,-0.267,32020348928.0
RJF,16.349363,14.955117,0.063,-0.114,33217376256.0
WAB,28.141792,22.20848,0.023,0.163,32233187328.0
WTW,221.13399,18.336151,-0.002,1.348,32356767744.0
FICO,60.15922,41.32002,0.198,0.44,36866441216.0
ODFL,28.935547,25.110168,-0.061,-0.166,31136387072.0
TSCO,29.167488,5.319856,0.045,0.011,31378456576.0
DXCM,54.87324,38.384235,0.152,0.253,30556717056.0
BRO,27.177233,23.057457,0.082,-0.101,31105845248.0
STT,12.689888,12.092077,0.075,-0.025,32040515584.0
IR,61.527134,22.420904,0.046,,31545845760.0
VTR,158.48837,425.93753,0.184,2.521,30972198912.0
DD,450.61768,17.449888,0.027,-0.669,32075816960.0
EFX,48.81311,26.507439,0.074,0.167,30729644032.0
BR,35.345634,26.839998,0.062,0.158,29393989632.0
EXR,31.565218,30.376568,0.036,0.344,32176463872.0
MTB,12.990155,12.3199005,0.055,0.093,31342557184.0
STZ,,9.689848,-0.055,-0.412,25918304256.0
WBD,40.129032,-95.69231,0.01,,30798579712.0
AWK,25.070396,24.366667,0.111,0.043,27097300992.0
NRG,63.818966,21.45797,0.012,,28639393792.0
DTE,19.380577,18.681692,0.189,-0.289,27961067520.0
ADM,27.026087,12.260355,-0.049,-0.549,29865641984.0
FITB,14.2523365,12.534246,0.044,0.045,30281328640.0
KEYS,53.371426,24.120516,0.111,-0.509,28892430336.0
K,20.820683,66.27917,0.003,-0.131,27651854336.0
ROL,56.049507,50.544643,0.121,0.093,27435470848.0
HPE,27.95294,11.314286,0.185,-0.404,31350132736.0
AEE,21.712088,20.079268,0.322,0.066,26713802752.0
MTD,32.75913,30.32911,0.039,-0.088,26614321152.0
AVB,23.82086,35.04332,0.044,0.058,27642236928.0
PPL,26.834585,19.502731,0.077,-0.037,26393288704.0
IRM,663.9285,47.423466,0.116,,27452596224.0
WRB,16.463636,16.652874,0.108,0.079,27475984384.0
SMCI,24.369047,9.655661,0.075,-0.343,24329537536.0
ATO,22.610651,22.89566,0.196,0.126,26241660928.0
VLTO,29.319832,27.990665,0.064,0.094,26048217088.0
SYF,9.216282,11.723339,0.238,0.504,28220598272.0
GIS,12.218293,10.658511,-0.033,-0.473,26785095680.0
FOXA,12.065174,15.882038,0.063,1.248,25127061504.0
WDC,21.273035,10.745175,,,32841369600.0
CBOE,27.379837,25.441175,0.205,0.675,24426995712.0
EXPE,26.767857,15.136142,0.064,-0.145,26890291200.0
PHM,10.118263,10.013332,-0.043,-0.248,26670741504.0
TTD,63.120483,27.145079,0.187,0.06,25615724544.0
FOX,10.925662,22.827662,0.063,1.248,25024911360.0
EQR,24.953007,39.275146,0.047,0.084,26122676224.0
VRSN,33.541218,32.45549,0.059,0.043,26223529984.0
TDY,29.801268,25.19082,0.102,0.165,25347686400.0
PPG,19.69801,12.308475,-0.009,-0.148,24585500672.0
FE,18.99119,14.916955,0.03,4.956,24891887616.0
HPQ,10.601818,8.098612,0.031,0.192,27251238912.0
WSM,22.410357,24.753382,0.027,0.142,24509628416.0
TYL,79.875,51.33241,0.102,0.249,24050532352.0
CNP,26.146854,21.488504,0.02,-0.132,24410621952.0
DG,19.48148,16.913183,0.051,0.1,23155150848.0
PTC,48.69412,29.564285,0.242,1.049,24791160832.0
IP,,15.645,0.429,-0.849,24780836864.0
HBAN,13.249999,13.249999,0.081,0.131,25902944256.0
DOV,22.54651,18.545164,0.052,-0.01,23931252736.0
ES,27.650656,13.246861,0.12,0.052,23499001856.0
STE,37.807808,24.762787,0.087,0.22,24315850752.0
DRI,23.655018,19.869318,0.106,-0.014,24463964160.0
NTRS,15.143612,16.907722,-0.268,-0.53,24628633600.0
LULU,11.27558,11.071668,0.065,-0.056,19602761728.0
CINF,13.387153,21.039564,0.277,1.196,24116305920.0
SBAC,23.334358,20.738823,0.058,0.387,20420802560.0
NVR,17.477806,15.938694,-0.009,-0.168,22815027200.0
DLTR,18.69186,15.915841,0.123,0.423,19672713216.0
TROW,12.1348715,11.589775,-0.006,0.045,23809286144.0
ULTA,19.506529,22.21032,0.093,0.033,22775666688.0
JBL,39.745712,20.845654,0.157,0.721,22393718784.0
RF,12.693925,12.019912,0.156,0.228,24239546368.0
HUBB,27.880598,24.246052,0.022,0.123,22831071232.0
EXE,,22.346699,4.465,,22564333568.0
LDOS,16.698586,16.938278,0.029,0.214,22709211136.0
CHD,44.46934,25.2748,-0.003,-0.216,22966237184.0
PODD,105.91946,90.04523,0.329,-0.881,24530026496.0
CPAY,21.21414,14.069431,0.129,0.129,22035929088.0
LH,30.466887,17.230337,0.095,0.159,22938093568.0
SW,174.07692,12.537396,1.674,,23631376384.0
FSLR,17.197094,9.645541,0.086,-0.021,21578940416.0
NTAP,21.513716,16.03595,0.012,-0.06,24264067072.0
CMS,20.834806,19.72905,0.144,0.015,21142030336.0
DVN,7.872748,7.8374443,-0.007,0.065,22189434880.0
EIX,7.928047,9.4719305,0.048,-0.219,20777187328.0
CDW,21.016792,16.697136,0.102,-0.035,22146033664.0
GPN,14.821976,6.7972655,-0.007,-0.355,21108021248.0
CFG,15.844513,13.428942,0.052,0.112,22417207296.0
LII,23.69175,23.722176,0.034,0.129,19464132608.0
ON,46.180958,11.224537,-0.154,-0.496,19831150592.0
TPR,126.82927,21.848738,0.083,,21644896256.0
TPL,45.661854,12.539524,0.088,0.014,21076826112.0
GDDY,26.273216,21.926975,0.083,0.366,20369999872.0
ZBH,25.334148,12.077907,0.07,-0.371,20576231424.0
BIIB,13.631578,8.55042,0.073,0.088,20885307392.0
TSN,25.30909,15.908571,0.04,-0.681,19809218560.0
AMCR,25.71875,10.417721,0.438,,18968995840.0
DGX,21.804567,18.632181,0.152,0.231,20335024128.0
KEY,,12.320513,0.197,0.551,21075111936.0
L,15.258729,33.148273,0.067,0.06,19939860480.0
NI,21.417553,21.647848,0.183,0.191,18958977024.0
TRMB,68.82692,27.02265,0.006,-0.932,19163047936.0
GEN,30.932293,12.120408,0.303,-0.254,18288230400.0
ERIE,27.90285,24.862688,0.07,0.066,17420902400.0
GPC,23.719275,16.24224,0.034,-0.138,19135135744.0
STLD,18.958635,13.010458,-0.015,-0.302,19228651520.0
MKC,24.222996,22.282051,0.01,-0.05,18655483904.0
WY,66.93421,29.57558,-0.028,-0.497,18351630336.0
INVH,34.14045,41.06081,0.044,0.925,18626248704.0
CTRA,11.466508,10.285408,0.348,1.323,18288650240.0
IT,14.95379,18.400303,0.057,0.049,18381078528.0
HAL,10.3755865,6.8,-0.055,-0.334,18842503168.0
FFIV,28.986784,21.363636,0.122,0.318,18900129792.0
WST,37.51198,33.321808,0.092,0.184,18018531328.0
NWS,39.04762,29.057146,0.008,13.86,17021263872.0
J,36.99743,21.642105,0.051,0.222,17203621888.0
RL,24.59952,23.635942,0.137,0.307,18641133568.0
TER,40.185764,27.231766,-0.107,-0.579,18410430464.0
WAT,27.594765,23.646559,0.089,0.031,18199492608.0
PKG,21.386227,19.064947,0.046,0.214,19281555456.0
PFG,16.252016,9.550948,-0.148,0.15,17957328896.0
PNR,29.588797,22.328867,0.022,-0.202,17752907776.0
ESS,21.407557,44.23754,0.059,1.382,18393630720.0
LYB,115.21277,6.289199,-0.118,-0.876,17417240576.0
SNA,17.198189,16.044233,0.001,-0.077,16838866944.0
MAA,29.870369,34.98072,0.006,0.061,17423448064.0
INCY,20.30733,13.990229,0.165,,16774208512.0
IFF,,14.188721,-0.043,2.6,16763734016.0
NWSA,35.01786,27.750002,0.008,13.86,17313550336.0
DOW,,7.665595,-0.074,,16898841600.0
LNT,19.660494,19.721363,0.075,1.0,16368924672.0
EVRG,19.48077,17.551981,-0.007,-0.172,16320292864.0
LUV,48.92625,19.693584,-0.015,-0.42,16445106176.0
BG,8.517137,9.084946,-0.036,4.057,16903237632.0
FTV,21.213964,11.293765,-0.022,-0.146,15933934592.0
EXPD,19.663948,22.405205,0.087,0.046,16359569408.0
APTV,18.285067,11.578796,0.031,-0.581,17599363072.0
ZBRA,29.516037,19.50561,0.062,-0.009,15907937280.0
HRL,18.56073,15.046271,0.046,0.04,13985459200.0
MAS,19.501326,16.633484,-0.019,0.047,15392440320.0
DECK,17.711214,18.128931,0.169,0.204,17103948800.0
DPZ,26.653488,25.988663,0.031,0.215,15563533312.0
BLDR,21.183056,12.018885,-0.05,-0.462,15478791168.0
HOLX,27.641907,14.113771,0.012,0.002,14816886784.0
BBY,21.165289,11.232456,0.016,-0.361,16142059520.0
CLX,19.116564,17.097393,0.045,0.537,15244594176.0
OMC,11.191703,9.054399,0.042,-0.215,15154951168.0
COO,33.313725,16.656862,0.057,-0.061,13511058432.0
BALL,25.079208,14.3512745,0.128,0.342,13787067392.0
KIM,27.304878,31.985714,0.05,0.361,15162507264.0
ALLE,23.504168,21.724005,0.058,0.028,14527802368.0
CHRW,28.630981,26.405462,-0.077,0.208,14842858496.0
BF.B,,,,,
TXT,18.206081,12.064925,0.054,-0.054,14405199872.0
CNC,7.1128645,4.162642,0.176,,14392652800.0
UDR,99.78206,82.797874,0.023,0.304,14684459008.0
FDS,26.932491,19.968683,0.059,-0.061,14102504448.0
EG,17.746841,5.1128626,0.075,-0.061,14254514176.0
CF,11.110091,13.716828,0.202,-0.081,13730450432.0
JBHT,25.658802,19.69081,-0.0,-0.053,13685484544.0
AVY,18.810537,15.949618,-0.007,0.069,13084531712.0
BEN,48.45098,9.503846,-0.028,-0.47,12829307904.0
ARE,,24.431076,-0.018,,14347887616.0
REG,34.009342,34.657143,0.068,0.033,13293266944.0
SOLV,33.683487,13.278481,0.038,0.011,12731880448.0
VTRS,,3.9157302,-0.057,,12189170688.0
IEX,26.273663,19.02682,0.072,-0.069,12204710912.0
BAX,,8.430555,0.043,,12470718464.0
DOC,74.89751,71.9016,-0.002,-0.783,12491520000.0
PAYC,29.972973,25.43578,0.105,0.316,12477714432.0
NDSN,27.914572,21.34486,0.121,0.072,12484595712.0
POOL,29.715221,26.775812,0.008,0.009,12020613120.0
GNRC,30.114616,22.081608,0.063,0.252,10637371392.0
SJM,,10.477683,-0.006,,11770556416.0
JKHY,26.069714,25.739716,0.099,0.262,11854355456.0
CPT,77.53147,68.43827,0.02,0.88,11846792192.0
BXP,3641.5002,38.946526,0.016,0.118,12876563456.0
SWK,24.401897,14.045538,-0.02,,11936011264.0
HAS,,17.663658,-0.015,,10973232128.0
WYNN,36.050148,24.344622,0.003,-0.408,12707028992.0
UHS,9.702162,10.1349125,0.096,0.222,11712702464.0
GL,11.191447,10.332473,0.029,-0.022,11340896256.0
HST,18.409575,17.840206,0.083,-0.075,12051721216.0
MRNA,,-2.814368,-0.411,,9526624256.0
SWKS,30.021914,11.7742195,0.066,-0.132,11184792576.0
NCLH,17.28082,12.071771,0.061,-0.816,11402370048.0
PNW,17.90432,18.592949,0.038,-0.055,10391940096.0
AIZ,15.380299,11.827037,0.08,0.247,10694348800.0
AKAM,27.660778,11.718563,0.065,-0.213,11224255488.0
RVTY,37.22391,16.592054,0.041,-0.026,9937589248.0
HII,19.87425,16.933672,0.035,-0.121,10419164160.0
ALGN,23.23693,13.430311,-0.016,0.29,9988262912.0
WBA,,7.8385696,0.072,,0.0
MOS,10.938983,13.117887,0.067,,10241787904.0
TAP,9.796844,8.376054,-0.016,0.004,9832027136.0
AOS,19.855154,17.513512,-0.013,-0.026,9988466688.0
